n,L,K,p.value,epsilon,seed
200,25,100,0.22772277227722773,0,1
200,25,100,0.2376237623762376,0.05,1
200,25,100,0.07920792079207921,0.09999999999999999,1
200,25,100,0.06930693069306931,0.15000000000000002,1
200,25,100,0.06930693069306931,0.2,1
200,25,100,0.009900990099009901,0.25,1
200,25,100,0.009900990099009901,0.3,1
200,25,100,0.009900990099009901,0.35000000000000003,1
200,25,100,0.009900990099009901,0.4,1
200,25,100,0.009900990099009901,0.45,1
200,25,100,0.5544554455445545,0,2
200,25,100,0.16831683168316833,0.05,2
200,25,100,0.019801980198019802,0.09999999999999999,2
200,25,100,0.009900990099009901,0.15000000000000002,2
200,25,100,0.009900990099009901,0.2,2
200,25,100,0.009900990099009901,0.25,2
200,25,100,0.009900990099009901,0.3,2
200,25,100,0.009900990099009901,0.35000000000000003,2
200,25,100,0.009900990099009901,0.4,2
200,25,100,0.009900990099009901,0.45,2
200,25,100,0.4752475247524752,0,3
200,25,100,0.9900990099009901,0.05,3
200,25,100,0.9900990099009901,0.09999999999999999,3
200,25,100,0.9207920792079208,0.15000000000000002,3
200,25,100,0.8316831683168316,0.2,3
200,25,100,0.49504950495049505,0.25,3
200,25,100,0.19801980198019803,0.3,3
200,25,100,0.16831683168316833,0.35000000000000003,3
200,25,100,0.009900990099009901,0.4,3
200,25,100,0.009900990099009901,0.45,3
200,25,100,0.27722772277227725,0,4
200,25,100,0.48514851485148514,0.05,4
200,25,100,0.33663366336633666,0.09999999999999999,4
200,25,100,0.07920792079207921,0.15000000000000002,4
200,25,100,0.009900990099009901,0.2,4
200,25,100,0.009900990099009901,0.25,4
200,25,100,0.009900990099009901,0.3,4
200,25,100,0.009900990099009901,0.35000000000000003,4
200,25,100,0.009900990099009901,0.4,4
200,25,100,0.009900990099009901,0.45,4
200,25,100,0.44554455445544555,0,5
200,25,100,0.9801980198019802,0.05,5
200,25,100,0.9603960396039604,0.09999999999999999,5
200,25,100,0.6534653465346535,0.15000000000000002,5
200,25,100,0.38613861386138615,0.2,5
200,25,100,0.24752475247524752,0.25,5
200,25,100,0.24752475247524752,0.3,5
200,25,100,0.0297029702970297,0.35000000000000003,5
200,25,100,0.009900990099009901,0.4,5
200,25,100,0.009900990099009901,0.45,5
200,25,100,0.5148514851485149,0,6
200,25,100,0.019801980198019802,0.05,6
200,25,100,0.019801980198019802,0.09999999999999999,6
200,25,100,0.019801980198019802,0.15000000000000002,6
200,25,100,0.019801980198019802,0.2,6
200,25,100,0.009900990099009901,0.25,6
200,25,100,0.009900990099009901,0.3,6
200,25,100,0.009900990099009901,0.35000000000000003,6
200,25,100,0.009900990099009901,0.4,6
200,25,100,0.009900990099009901,0.45,6
200,25,100,0.504950495049505,0,7
200,25,100,0.06930693069306931,0.05,7
200,25,100,0.06930693069306931,0.09999999999999999,7
200,25,100,0.04950495049504951,0.15000000000000002,7
200,25,100,0.04950495049504951,0.2,7
200,25,100,0.009900990099009901,0.25,7
200,25,100,0.009900990099009901,0.3,7
200,25,100,0.009900990099009901,0.35000000000000003,7
200,25,100,0.009900990099009901,0.4,7
200,25,100,0.009900990099009901,0.45,7
200,25,100,0.7821782178217822,0,8
200,25,100,0.6138613861386139,0.05,8
200,25,100,0.36633663366336633,0.09999999999999999,8
200,25,100,0.019801980198019802,0.15000000000000002,8
200,25,100,0.009900990099009901,0.2,8
200,25,100,0.009900990099009901,0.25,8
200,25,100,0.009900990099009901,0.3,8
200,25,100,0.009900990099009901,0.35000000000000003,8
200,25,100,0.009900990099009901,0.4,8
200,25,100,0.009900990099009901,0.45,8
200,25,100,0.594059405940594,0,9
200,25,100,0.21782178217821782,0.05,9
200,25,100,0.039603960396039604,0.09999999999999999,9
200,25,100,0.0297029702970297,0.15000000000000002,9
200,25,100,0.0297029702970297,0.2,9
200,25,100,0.0297029702970297,0.25,9
200,25,100,0.0297029702970297,0.3,9
200,25,100,0.009900990099009901,0.35000000000000003,9
200,25,100,0.009900990099009901,0.4,9
200,25,100,0.009900990099009901,0.45,9
200,25,100,0.5544554455445545,0,10
200,25,100,0.31683168316831684,0.05,10
200,25,100,0.12871287128712872,0.09999999999999999,10
200,25,100,0.06930693069306931,0.15000000000000002,10
200,25,100,0.04950495049504951,0.2,10
200,25,100,0.009900990099009901,0.25,10
200,25,100,0.009900990099009901,0.3,10
200,25,100,0.009900990099009901,0.35000000000000003,10
200,25,100,0.009900990099009901,0.4,10
200,25,100,0.009900990099009901,0.45,10
200,25,100,0.33663366336633666,0,11
200,25,100,0.2871287128712871,0.05,11
200,25,100,0.1485148514851485,0.09999999999999999,11
200,25,100,0.10891089108910891,0.15000000000000002,11
200,25,100,0.019801980198019802,0.2,11
200,25,100,0.009900990099009901,0.25,11
200,25,100,0.009900990099009901,0.3,11
200,25,100,0.009900990099009901,0.35000000000000003,11
200,25,100,0.009900990099009901,0.4,11
200,25,100,0.009900990099009901,0.45,11
200,25,100,0.9504950495049505,0,12
200,25,100,1.00990099009901,0.05,12
200,25,100,0.9801980198019802,0.09999999999999999,12
200,25,100,0.9405940594059405,0.15000000000000002,12
200,25,100,0.7821782178217822,0.2,12
200,25,100,0.7821782178217822,0.25,12
200,25,100,0.21782178217821782,0.3,12
200,25,100,0.0297029702970297,0.35000000000000003,12
200,25,100,0.019801980198019802,0.4,12
200,25,100,0.009900990099009901,0.45,12
200,25,100,0.40594059405940597,0,13
200,25,100,0.37623762376237624,0.05,13
200,25,100,0.18811881188118812,0.09999999999999999,13
200,25,100,0.12871287128712872,0.15000000000000002,13
200,25,100,0.12871287128712872,0.2,13
200,25,100,0.0594059405940594,0.25,13
200,25,100,0.009900990099009901,0.3,13
200,25,100,0.009900990099009901,0.35000000000000003,13
200,25,100,0.009900990099009901,0.4,13
200,25,100,0.009900990099009901,0.45,13
200,25,100,0.039603960396039604,0,14
200,25,100,0.9405940594059405,0.05,14
200,25,100,0.5841584158415841,0.09999999999999999,14
200,25,100,0.46534653465346537,0.15000000000000002,14
200,25,100,0.46534653465346537,0.2,14
200,25,100,0.21782178217821782,0.25,14
200,25,100,0.1485148514851485,0.3,14
200,25,100,0.06930693069306931,0.35000000000000003,14
200,25,100,0.009900990099009901,0.4,14
200,25,100,0.009900990099009901,0.45,14
200,25,100,0.7821782178217822,0,15
200,25,100,0.25742574257425743,0.05,15
200,25,100,0.19801980198019803,0.09999999999999999,15
200,25,100,0.039603960396039604,0.15000000000000002,15
200,25,100,0.0297029702970297,0.2,15
200,25,100,0.0297029702970297,0.25,15
200,25,100,0.009900990099009901,0.3,15
200,25,100,0.009900990099009901,0.35000000000000003,15
200,25,100,0.009900990099009901,0.4,15
200,25,100,0.009900990099009901,0.45,15
200,25,100,0.7722772277227723,0,16
200,25,100,0.019801980198019802,0.05,16
200,25,100,0.019801980198019802,0.09999999999999999,16
200,25,100,0.019801980198019802,0.15000000000000002,16
200,25,100,0.019801980198019802,0.2,16
200,25,100,0.019801980198019802,0.25,16
200,25,100,0.009900990099009901,0.3,16
200,25,100,0.009900990099009901,0.35000000000000003,16
200,25,100,0.009900990099009901,0.4,16
200,25,100,0.009900990099009901,0.45,16
200,25,100,0.7524752475247525,0,17
200,25,100,0.21782178217821782,0.05,17
200,25,100,0.1188118811881188,0.09999999999999999,17
200,25,100,0.0594059405940594,0.15000000000000002,17
200,25,100,0.0594059405940594,0.2,17
200,25,100,0.0594059405940594,0.25,17
200,25,100,0.0594059405940594,0.3,17
200,25,100,0.0297029702970297,0.35000000000000003,17
200,25,100,0.009900990099009901,0.4,17
200,25,100,0.009900990099009901,0.45,17
200,25,100,0.3069306930693069,0,18
200,25,100,0.1782178217821782,0.05,18
200,25,100,0.1782178217821782,0.09999999999999999,18
200,25,100,0.0891089108910891,0.15000000000000002,18
200,25,100,0.019801980198019802,0.2,18
200,25,100,0.009900990099009901,0.25,18
200,25,100,0.009900990099009901,0.3,18
200,25,100,0.009900990099009901,0.35000000000000003,18
200,25,100,0.009900990099009901,0.4,18
200,25,100,0.009900990099009901,0.45,18
200,25,100,0.594059405940594,0,19
200,25,100,0.42574257425742573,0.05,19
200,25,100,0.42574257425742573,0.09999999999999999,19
200,25,100,0.42574257425742573,0.15000000000000002,19
200,25,100,0.0891089108910891,0.2,19
200,25,100,0.009900990099009901,0.25,19
200,25,100,0.009900990099009901,0.3,19
200,25,100,0.009900990099009901,0.35000000000000003,19
200,25,100,0.009900990099009901,0.4,19
200,25,100,0.009900990099009901,0.45,19
200,25,100,0.8712871287128713,0,20
200,25,100,0.39603960396039606,0.05,20
200,25,100,0.297029702970297,0.09999999999999999,20
200,25,100,0.18811881188118812,0.15000000000000002,20
200,25,100,0.06930693069306931,0.2,20
200,25,100,0.009900990099009901,0.25,20
200,25,100,0.009900990099009901,0.3,20
